Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
1049265,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008445,CL_0000737,Prodcom Elements,CI_0021510
1049265,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008445,CL_0000737,Prodcom Elements,CI_0021511
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008445,CL_0000737,Prodcom Elements,CI_0021513
147213,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008445,CL_0000737,Prodcom Elements,CI_0021516
2618617,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008453,CL_0000737,Prodcom Elements,CI_0021509
28998,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008453,CL_0000737,Prodcom Elements,CI_0021510
2647614,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008453,CL_0000737,Prodcom Elements,CI_0021511
579841,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008453,CL_0000737,Prodcom Elements,CI_0021512
17595,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008453,CL_0000737,Prodcom Elements,CI_0021515
514435,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008453,CL_0000737,Prodcom Elements,CI_0021516
4004689,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008453,CL_0000737,Prodcom Elements,CI_0021517
